Rk,Edited Name,Original Name,Matching Name, Market Value Euro ,Nation,Pos,Squad,Comp,Born,MP,90s,Goals, Goals Per Match ,Shots,SoT,G/Sh,G/SoT,ShoDist,ShoFK,ShoPK,PKatt,PasTotCmp,PasTotAtt,PasTotDist,PasTotPrgDist,PasShoCmp,PasShoAtt,PasMedCmp,PasMedAtt,PasLonCmp,PasLonAtt,Assists,PasAss,Pas3rd,PPA,CrsPA,PasProg,PasLive,PasDead,PasFK,TB,Sw,PasCrs,TI,CK,CkIn,CkOut,CkStr,PasCmp,PasOff,PasBlocks,SCA,ScaPassLive,ScaPassDead,ScaDrib,ScaSh,ScaFld,ScaDef,GCA,GcaPassLive,GcaPassDead,GcaDrib,GcaSh,GcaFld,GcaDef,Tkl,TklWon,TklDef3rd,TklMid3rd,TklAtt3rd,TklDri,TklDriAtt,TklDriPast,Blocks,BlkSh,BlkPass,Int,Clr,Err,Touches,TouDefPen,TouDef3rd,TouMid3rd,TouAtt3rd,TouAttPen,TouLive,ToAtt,ToSuc,ToTkl,Carries,CarTotDist,CarPrgDist,CarProg,Car3rd,CPA,CarMis,CarDis,Rec,RecProg,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,TklW,PKwon,PKcon,OG,Recov,AerWon,AerLost
1,Brenden Aaronson,Brenden Aaronson,Brenden Aaronson,"25,000,000",USA,MFFW,Leeds United,Premier League,2000,20,17.7,1, 0.050 ,1.53,0.28,0.04,0.2,19,0.11,0,0,23.2,31,293,85.7,13.3,16.2,5.93,7.74,0.9,2.37,0.11,1.75,1.75,0.45,0.11,3.22,28.1,2.88,0.96,0.17,0,2.54,0.23,1.47,0.68,0.62,0.06,23.2,0,0.85,3.62,2.37,0.56,0.23,0.11,0.28,0.06,0.28,0.17,0,0,0.06,0,0.06,1.64,0.51,0.45,0.9,0.28,0.51,1.47,0.96,1.69,0.11,1.58,0.06,0.28,0.06,44,0.4,4.35,19,21.5,2.49,44,3.73,1.19,1.75,26.7,136.1,56.6,1.53,1.07,0.4,2.6,3.11,30.2,5.65,0.11,0,0,0.62,2.26,0.17,2.54,0.51,0,0,0,4.86,0.34,1.19
2,Yunis Abdelhamid,Yunis Abdelhamid,Yunis Abdelhamid,"700,000",MAR,DF,Reims,Ligue 1,1987,22,22,0, -   ,0.86,0.05,0,0,13.5,0,0,0,38.5,47.2,751.5,318.5,10.9,12.9,23.2,25.7,3.77,7,0.05,0.27,2.91,0.09,0,4.5,43.3,3.73,3.32,0,0.55,0.18,0.09,0,0,0,0,38.5,0.23,0.59,1.14,0.86,0,0,0.18,0,0.09,0.18,0.14,0,0,0.05,0,0,2.5,1.59,1.45,1,0.05,1.32,1.68,0.36,2.23,0.77,1.45,2,2.91,0.05,59.2,6.23,27.5,29.5,2.73,1.09,59.2,0.68,0.32,0.36,40,234.2,125,0.55,0.23,0.09,0.73,0.68,34.5,0.23,0.09,0,0,1.32,0.5,0.05,0.18,1.59,0,0,0,6.64,2.18,1.23
3,Himad Abdelli,Himad Abdelli,Himad Abdelli,"2,500,000",FRA,MFFW,Angers,Ligue 1,1999,14,8.6,0, -   ,1.05,0.35,0,0,19.2,0,0,0,40,49.5,676,188.1,18.5,22,15.5,18.7,4.42,5.93,0,1.51,3.95,1.74,0.35,6.4,48.1,1.16,0.35,0.12,0.23,1.05,0.81,0,0,0,0,40,0.23,1.16,2.67,2.44,0,0,0.12,0,0.12,0,0,0,0,0,0,0,2.91,1.4,1.28,1.4,0.23,1.63,2.67,1.05,1.51,0.12,1.4,0.93,0.93,0,62.6,0.93,11.4,36,17.4,1.16,62.6,3.84,2.09,1.51,48.5,298.5,151,2.56,2.56,0.47,2.09,1.05,43.4,5.93,0.12,0,0,1.74,1.28,0,1.05,1.4,0,0,0,8.14,0.93,1.05
4,Salis Abdul Samed,Salis Abdul Samed,Salis Abdul Samed,"13,000,000",GHA,MF,Lens,Ligue 1,2000,20,20,1, 0.050 ,0.6,0.15,0.08,0.33,20.3,0,0,0,59.5,64.9,946.3,226.9,29.6,31.8,24.7,26.2,3.35,4.3,0,0.5,6,0.55,0.1,5.6,63.1,1.4,1.3,0.05,0.2,0.35,0.1,0,0,0,0,59.5,0.35,0.4,1.6,1.35,0,0.1,0.1,0,0.05,0,0,0,0,0,0,0,1.5,0.8,0.55,0.85,0.1,0.85,1.3,0.45,1.3,0.35,0.95,1.1,0.8,0,73.3,2.1,12,49.6,12.2,0.7,73.3,1.25,0.7,0.4,61,316.9,117.5,1.25,1.95,0.15,1.35,1.3,56.5,1.7,0.15,0,0,2.45,1.35,0,0.35,0.8,0,0,0.05,6.6,0.5,0.5
5,Laurent Abergel,Laurent Abergel,Laurent Abergel,"3,000,000",FRA,MF,Lorient,Ligue 1,1993,15,12.9,0, -   ,0.31,0,0,0,23.9,0,0,0,37.9,43.4,613.6,224.7,17.9,19.4,15.7,17.8,2.64,3.95,0.08,0.62,3.88,0.39,0,5.04,42.6,0.78,0.78,0.39,0.16,0.23,0,0,0,0,0,37.9,0.08,0.31,1.24,1.01,0.08,0,0.08,0,0.08,0.08,0.08,0,0,0,0,0,3.8,2.02,2.64,1.16,0,1.32,3.26,1.94,1.4,0.23,1.16,1.16,1.55,0,54.7,3.26,19.2,31.4,4.88,0.23,54.7,0.93,0.54,0.31,41,174.3,72.7,0.47,0.93,0,1.32,0.78,36.4,0.47,0.16,0,0,0.93,1.01,0,0.23,2.02,0,0,0,6.51,0.31,0.39
6,Oliver Abildgaard,Oliver Abildgaard,Oliver Abildgaard,"4,500,000",DEN,MF,Hellas Verona,Serie A,1996,1,0.1,0, -   ,0,0,0,0,0,0,0,0,20,30,310,90,10,10,10,10,0,10,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,10,0,0,0,0,0,0,0,0,0,50,0,20,20,10,0,50,0,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,10,0,0,0,10,0,10
7,Matthis Abline,Matthis Abline,Matthis Abline,"4,000,000",FRA,FWMF,Auxerre,Ligue 1,2003,5,2.1,1, 0.200 ,4.29,1.43,0.11,0.33,20.4,0,0,0,7.14,10,139.5,40,1.43,2.38,4.76,5.24,0.48,0.95,0,0,0.48,1.43,0.48,1.9,9.05,0.95,0,0,0,0.95,0,0,0,0,0,7.14,0,0.48,0.48,0.48,0,0,0,0,0,0,0,0,0,0,0,0,1.43,0.48,0,0.95,0.48,0,0.95,0.95,0.48,0,0.48,0.48,0.48,0,25.7,0.48,1.43,11.4,12.9,6.67,25.7,1.43,0.48,0.95,17.1,97.1,10.5,1.43,0,0.95,7.62,3.33,19,6.67,0,0,0,0.95,1.43,0.48,0.95,0.48,0,0,0,0.48,1.43,1.43
8,Matthis Abline,Matthis Abline,Matthis Abline,"4,000,000",FRA,FWMF,Rennes,Ligue 1,2003,11,1.2,1, 0.091 ,5,1.67,0.17,0.5,12.2,0,0,0,5.83,12.5,107.5,25,2.5,5,2.5,3.33,0.83,0.83,0,1.67,0.83,0.83,0,1.67,12.5,0,0,0.83,0,1.67,0,0,0,0,0,5.83,0,0.83,5.83,1.67,0,0,2.5,0.83,0.83,1.67,0,0,0,0,0.83,0.83,0.83,0.83,0,0,0.83,0.83,0.83,0,0.83,0,0.83,1.67,0.83,0,30.8,0.83,0.83,12.5,18.3,12.5,30.8,0,0,0,22.5,145,87.5,3.33,0.83,1.67,8.33,0.83,22.5,9.17,0,0,0,2.5,4.17,0.83,1.67,0.83,0.83,0,0,1.67,0.83,3.33
9,Abner,Abner,Abner,"7,000,000",BRA,DF,Betis,La Liga,2000,4,3,0, -   ,0.67,0.33,0,0,7.8,0,0,0,39,54.3,590,265.3,20.7,23.3,13.3,20,2.33,5.67,0,0,3,0.33,0,3.33,42.3,11.7,0.33,0,0.67,1.33,11.3,0,0,0,0,39,0.33,2.33,1,0.67,0,0.33,0,0,0,0.33,0.33,0,0,0,0,0,2.67,2.33,2.33,0.33,0,2,2.33,0.33,1.33,0.67,0.67,2,2.67,0,65.7,4.67,20.7,30.7,15,1.67,65.7,1.33,0.33,1,30.3,112.7,67.3,0.67,0.67,0.33,1,0.67,35,3.67,0,0,0,0.67,0.67,0,1.33,2.33,0,0,0,6,1,2
10,Zakaria Aboukhlal,Zakaria Aboukhlal,Zakaria Aboukhlal,"7,000,000",MAR,FWMF,Toulouse,Ligue 1,2000,22,16.7,5, 0.227 ,2.75,1.02,0.11,0.29,18.1,0,0,0,17.6,25.3,219.5,49.6,11.7,14.9,4.43,6.17,0.24,0.84,0.24,0.54,0.78,0.42,0.06,1.8,24.3,0.84,0.06,0.06,0,0.96,0.78,0,0,0,0,17.6,0.18,1.56,2.34,1.32,0,0.18,0.36,0.42,0.06,0.24,0.12,0,0.06,0,0.06,0,1.14,0.72,0.54,0.3,0.3,0.3,1.32,1.02,0.54,0.06,0.48,0.84,0.66,0,38,0.96,5.45,14.6,18.7,4.97,38,3.17,1.02,1.86,28.6,177.7,74.7,3.05,1.08,1.14,2.57,0.96,27.1,9.52,0.18,0,0,1.56,1.8,0.72,0.96,0.72,0,0,0,4.43,0.42,1.32
