Rk,Edited Name,Original Name,Matching Name,Market Value Euro,Nation,Pos,Squad,Comp,Born,MP,90s,Goals,Shots,SoT,G/Sh,G/SoT,ShoDist,ShoFK,ShoPK,PKatt,PasTotCmp,PasTotAtt,PasTotDist,PasTotPrgDist,PasShoCmp,PasShoAtt,PasMedCmp,PasMedAtt,PasLonCmp,PasLonAtt,Assists,PasAss,Pas3rd,PPA,CrsPA,PasProg,PasLive,PasDead,PasFK,TB,Sw,PasCrs,CK,CkIn,CkOut,CkStr,TI,PasCmp,PasOff,PasBlocks,SCA,ScaPassLive,ScaPassDead,ScaDrib,ScaSh,ScaFld,ScaDef,GCA,GcaPassLive,GcaPassDead,GcaDrib,GcaSh,GcaFld,GcaDef,Tkl,TklWon,TklDef3rd,TklMid3rd,TklAtt3rd,TklDri,TklDriAtt,TklDriPast,Blocks,BlkSh,BlkPass,Int,Clr,Err,Touches,TouDefPen,TouDef3rd,TouMid3rd,TouAtt3rd,TouAttPen,TouLive,Carries,CarTotDist,CarPrgDist,CarProg,Car3rd,CPA,CarMis,CarDis,Rec,RecProg,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,TklW,PKwon,PKcon,OG,Recov,AerWon,AerLost, Goals Per Match ,ToAtt,ToSuc,ToTkl
1,Max Aarons,Max Aarons,Max Aarons,0,ENG,DF,Norwich City,Premier League,2000,34,32,0,0.41,0.06,0,0,20.5,0,0,0,34,45,574.1,214.8,17.5,19.4,13.1,17,3.06,6.78,0.06,0.59,1.56,1.13,0.25,2.94,34.4,10.6,0.84,0.06,0.59,1.41,0,0,0,0,9.72,34,0.22,1.75,1.19,0.84,0.06,0.09,0.13,0.06,0,0.16,0.16,0,0,0,0,0,2.16,1.16,1.56,0.59,0,1.16,1.81,0.66,2.69,0.69,2,1.75,2.19,0,58,5.06,23.3,23.8,15,0.91,47.8,33.9,199.4,121.7,5.44,1.66,0.41,0.84,0.94,32.4,1.28,0.25,0,0,0.97,1.84,0.03,1.41,1.16,0,0.06,0.03,5.53,0.47,1.59,0,0,0,0
2,Yunis Abdelhamid,Yunis Abdelhamid,Yunis Abdelhamid,0,MAR,DF,Reims,Ligue 1,1987,34,33.1,0.06,0.54,0.18,0.11,0.33,18.7,0,0,0,38.7,47,835.8,287.9,10.2,11.4,22.4,25,5.65,9.15,0,0.24,2.45,0.18,0,2.72,44,3.02,2.45,0,1.66,0.06,0,0,0,0,0.42,38.7,0.15,0.88,0.63,0.42,0,0.09,0.03,0,0.09,0.03,0,0,0.03,0,0,0,1.87,1.39,1.24,0.6,0.03,0.39,0.82,0.42,1.87,0.79,1.09,3.11,3.2,0,57.3,8.28,32.8,25.7,2.9,0.85,54.5,35.7,204.7,115.5,2.75,0.73,0,0.45,0.39,36.3,0.36,0.15,0.03,0,1.3,0.73,0,0.06,1.39,0,0.03,0,6.77,2.02,1.36,0,0,0,0
3,Salis Abdul Samed,Salis Abdul Samed,Salis Abdul Samed,0,GHA,MF,Clermont Foot,Ligue 1,2000,31,27.4,0.04,0.66,0.18,0.06,0.2,20.3,0,0,0,55.9,61,1033.3,184.4,22.5,24.1,25.8,27.2,6.72,7.81,0,0.55,2.81,0.47,0.04,2.96,60.3,0.73,0.58,0.04,0.8,0.36,0,0,0,0,0.15,55.9,0.07,0.84,1.46,1.09,0,0,0.15,0.15,0.07,0.04,0.04,0,0,0,0,0,2.01,1.24,0.91,0.91,0.18,0.69,2.15,1.46,0.99,0.04,0.95,1.86,0.55,0,70.4,2.01,22.7,41.8,10.9,0.62,69.9,53.5,246.5,106.3,2.85,0.73,0.15,0.84,1.46,54.2,1.72,0.44,0.11,0.07,1.64,1.28,0,0.36,1.24,0,0,0,8.76,0.88,0.88,0,0,0,0
4,Laurent Abergel,Laurent Abergel,Laurent Abergel,0,FRA,MF,Lorient,Ligue 1,1993,34,32.8,0,0.91,0.21,0,0,22.6,0,0,0,40.7,49.8,780.8,206,16.3,18.4,17.3,19.6,6.25,9.39,0.06,0.91,3.87,0.58,0.18,4.18,49,0.85,0.64,0.18,1.49,0.79,0.03,0,0,0,0.15,40.7,0.21,1.68,2.01,1.49,0.06,0.03,0.03,0.21,0.18,0.15,0.12,0,0,0,0.03,0,3.57,2.23,1.49,1.71,0.37,1.8,4.97,3.17,1.68,0.09,1.59,2.56,0.34,0,61.6,0.67,13.7,40.3,11.6,0.46,60.9,45.7,171.9,86.4,2.87,1.13,0.09,0.85,1.46,43,1.86,0.27,0,0,1.4,2.07,0.03,0.79,2.23,0,0,0,8.87,0.43,0.43,0,0,0,0
5,Charles Abi,Charles Abi,Charles Abi,0,FRA,FW,Saint-Étienne,Ligue 1,2000,1,0.5,0,0,0,0,0,0,0,0,0,4,12,48,0,2,4,2,6,0,0,0,0,0,0,0,0,12,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,2,0,0,0,24,0,0,10,18,6,24,18,118,18,0,2,0,8,0,16,4,0,0,0,2,0,0,2,0,0,0,0,4,2,0,0,0,0,0
6,Dickson Abiama,Dickson Abiama,Dickson Abiama,0,NGA,FW,Greuther Fürth,Bundesliga,1998,24,8.1,0,2.22,0.49,0,0,15.6,0,0,0,11.1,17.2,160,40.7,6.67,9.63,3.09,4.69,0.62,1.23,0.12,0.99,0.86,0.74,0,1.6,16,1.11,0.12,0.12,0.25,0.25,0,0,0,0,0,11.1,0.25,1.11,2.47,1.48,0,0,0.12,0.25,0.62,0.25,0.12,0,0,0.12,0,0,1.73,0.86,0.37,0.86,0.49,0.25,1.36,1.11,1.23,0.37,0.86,0.99,0.86,0,33,1.11,3.46,15.6,15.6,3.83,31.9,19,74.7,40.2,2.59,0.99,0.86,5.06,1.36,21.1,5.93,0.37,0,0,2.22,1.48,1.85,0.25,0.86,0,0,0,4.81,2.72,4.94,0,0,0,0
7,Matthis Abline,Matthis Abline,Matthis Abline,0,FRA,FW,Rennes,Ligue 1,2003,7,1.1,0,1.82,0,0,0,8.6,0,0,0,7.27,9.09,90.9,20,3.64,5.45,3.64,3.64,0,0,0,0.91,0.91,0.91,0,0.91,9.09,0,0,0,0,0.91,0,0,0,0,0,7.27,0,0,0.91,0.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.91,0.91,1.82,0,1.82,0.91,0.91,0,22.7,1.82,1.82,10,10.9,2.73,22.7,16.4,61.8,31.8,2.73,0,0,1.82,4.55,11.8,7.27,0,0,0,1.82,0.91,0,0.91,0,0,0,0,6.36,0,1.82,0,0,0,0
8,Tammy Abraham,Tammy Abraham,Tammy Abraham,0,ENG,FW,Roma,Serie A,1997,37,34.3,0.5,2.71,0.93,0.15,0.44,12.2,0.06,0.09,0.09,14.6,20.2,224.9,51.2,8.69,11.4,4.05,5.86,1.28,1.6,0.12,1.02,1.08,0.82,0.12,1.78,18.3,1.98,0.17,0.15,0.32,0.7,0,0,0,0,0.03,14.6,0,0.7,2.33,1.63,0.03,0.03,0.38,0.17,0.09,0.35,0.15,0,0.03,0.09,0.09,0,0.99,0.64,0.29,0.44,0.26,0.29,0.67,0.38,0.96,0.32,0.64,0.44,0.9,0,32.4,0.96,2.54,16.3,15.2,5.86,30.4,18,76.8,39.4,2.45,0.82,0.67,2.39,1.28,22.4,6.71,0.26,0,0,1.25,1.46,0.5,0.7,0.64,0.03,0.03,0,3.67,2.39,2.89,0,0,0,0
9,Luis Abram,Luis Abram,Luis Abram,0,PER,DF,Granada,La Liga,1996,8,6.2,0,0.32,0,0,0,7,0,0,0,31.3,35.5,696.8,186,6.77,7.42,18.5,20,5.81,7.74,0,0,1.29,0,0,1.45,34,1.45,0.81,0,1.13,0,0,0,0,0,0.32,31.3,0.16,0.16,0.48,0.16,0,0,0.32,0,0,0.16,0,0,0,0.16,0,0,1.13,0.97,0.81,0.16,0.16,0.48,0.65,0.16,2.1,0.81,1.29,1.77,6.29,0.16,46.8,10.2,30,18.2,1.13,0.81,45.5,25.2,129.5,77.1,1.13,0,0,0.32,0,29.4,0.16,0.32,0,0,0.81,0.81,0,0,0.97,0,0,0.16,4.03,1.94,2.42,0,0,0,0
10,Francesco Acerbi,Francesco Acerbi,Francesco Acerbi,0,ITA,DF,Lazio,Serie A,1988,30,28.2,0.14,0.57,0.25,0.25,0.57,9.2,0,0,0,64.3,71.1,1345.5,409.9,20.1,21.6,33.3,35.3,9.93,12.9,0,0.21,4.33,0.21,0,3.12,68.6,2.52,2.2,0.07,2.66,0.04,0,0,0,0,0.04,64.3,0.04,0.43,0.64,0.5,0.04,0,0.04,0.07,0,0.07,0.04,0,0,0,0.04,0,0.96,0.43,0.64,0.32,0,0.32,0.71,0.39,1.7,1.06,0.64,1.7,4.08,0.04,80.2,12.3,42,41.4,2.3,0.78,77.9,52.4,284.8,161.6,3.48,0.71,0,0.28,0.11,57.8,0.35,0.07,0.04,0,0.71,0.67,0.14,0.04,0.43,0.04,0,0,10.7,2.84,1.6,0,0,0,0
