,Rk,Age,Born,MP,Starts,Min,90s,Goals,Shots,SoT,SoT%,G/Sh,G/SoT,ShoDist,ShoFK,ShoPK,PKatt,PasTotCmp,PasTotAtt,PasTotCmp%,PasTotDist,PasTotPrgDist,PasShoCmp,PasShoAtt,PasShoCmp%,PasMedCmp,PasMedAtt,PasMedCmp%,PasLonCmp,PasLonAtt,PasLonCmp%,Assists,PasAss,Pas3rd,PPA,CrsPA,PasProg,PasAtt,PasLive,PasDead,PasFK,TB,Sw,PasCrs,TI,CK,CkIn,CkOut,CkStr,PasCmp,PasOff,PasBlocks,SCA,ScaPassLive,ScaPassDead,ScaDrib,ScaSh,ScaFld,ScaDef,GCA,GcaPassLive,GcaPassDead,GcaDrib,GcaSh,GcaFld,GcaDef,Tkl,TklWon,TklDef3rd,TklMid3rd,TklAtt3rd,TklDri,TklDriAtt,TklDri%,TklDriPast,Blocks,BlkSh,BlkPass,Int,Tkl+Int,Clr,Err,Touches,TouDefPen,TouDef3rd,TouMid3rd,TouAtt3rd,TouAttPen,TouLive,ToAtt,ToSuc,ToSuc%,ToTkl,ToTkl%,Carries,CarTotDist,CarPrgDist,CarProg,Car3rd,CPA,CarMis,CarDis,Rec,RecProg,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,TklW,PKwon,PKcon,OG,Recov,AerWon,AerLost,AerWon%
Rk,1.0,0.004909401730153176,-0.0059132735629601335,-0.0014280067591865614,0.014001974635341707,0.013368846623676196,0.013374947338312342,-0.008503374021239941,-0.02248971306530309,-0.00952937660527411,-0.025151033232922608,-0.0298232023517387,-0.025541816877784698,-0.03621818358657772,-0.02391513410058493,-0.005458197352215118,-0.012639553406321,-0.005828239006296912,-0.007825819853408257,-0.007787962909341588,-0.0026073961515944923,0.002401561387400813,-0.00847948633147675,-0.010784668736290401,0.006416845475288146,-0.007735402624879132,-0.008161446548081227,0.005093081784695391,0.007396139746123281,0.00912188535452708,0.0012649263413382942,0.01682034245870216,-0.007989335046780179,-0.0027006072421912348,-0.010395376613401175,-0.016775219168088315,-0.019840428263821867,-0.007825819853408257,-0.00890844040335,0.0030850343772674768,0.016093778883867888,0.03931318161706319,-0.0032906265283055743,-0.006529424325918157,-0.014065507288410552,0.0014071806647182525,0.02041678639524328,-0.008408772167904859,-0.0026691127397269567,-0.005828239006296912,-0.002537242139366314,-0.004330822082124443,-0.009981834490866617,7.543319066256859e-05,0.0009262905467511172,0.005488327903490253,-0.03422282342857991,0.004793838835474414,-0.04621351368336735,0.029403622519475116,0.03953808574991713,-0.02216277662932369,0.03054399018497967,-0.012413090677330676,0.015996859573481532,-0.03238613725708803,-0.03070152636126219,-0.027527653321090424,-0.03178709453647507,-0.016263259797080445,-0.0027431775179205626,-0.053628135515766104,-0.0437225181417829,-0.03159355277325272,-0.013112951369192391,-0.013952679201219773,0.007502246128195903,-0.01842475272520889,-0.01859337694028421,-0.033443830213451584,0.0018914590677483317,0.00149827166768675,-0.019008225025528028,0.0329757467044624,-0.0006405417722487948,-0.02367768613800356,-0.0049087752670257,-0.003047630027215334,-0.018985428781126863,-0.00816457140690571,-0.0019018268582118557,0.003174673839955591,-0.01142620026239457,-0.03284971292274872,-0.01876078307075956,-0.009310311662479332,0.007020796892361733,-0.002109577839950427,-0.014669115665920437,-0.005517557156482855,-0.0400473742969627,0.0006555531193149501,-0.010697372469571026,-0.014715858354221848,0.010453374384844566,-0.005080796346381061,0.01594634407441688,-0.022862013468705592,0.0015547425214192956,-0.012274133516128105,-0.006529424325918157,-0.027527653321090424,-0.0024354447977542187,-0.028622575082155384,0.003572582851378172,-0.033280618575658845,0.010726645907126232,-0.025626269112115574,0.02071354591879347
Age,0.004909401730153176,1.0,-0.9965090522372745,0.2048838085587865,0.21727667410524246,0.22259866795012712,0.22249433090188403,0.05244675690709756,-0.09030184603020695,-0.07937937398620992,-0.02471822203390199,0.008639234570767243,0.045583938223130276,0.017978187005058096,0.03694528205641264,0.09069930994290995,0.11054996810446507,0.07703239985445284,0.08472031843675219,0.04942470904346699,0.13857005170139552,0.23708234856736457,-0.006904023657907268,-0.020720164463774463,0.12979385996073617,0.08056311154562448,0.07429239333665542,0.12786507131468772,0.21654974254911138,0.23086131591978978,0.10419826163686904,-0.026376273449543852,-0.007560238112106689,0.0870420726720313,-0.035448542556787345,-0.03255340546643388,0.015645591128615712,0.08472031843675219,0.057620857704842786,0.13196404104331214,0.20404550476911693,0.018986564570965394,0.07070775129671185,-0.009600975352824425,-0.024434435100194957,0.035695141132894376,0.011240996104687607,0.03847321930183991,0.040014296047133864,0.07703239985445284,0.053400444889840935,-0.0925288908845627,-0.0637209757286699,-0.05341688468719424,0.05002639718852114,-0.08783931948505008,-0.03498130872660725,-0.03233842981508771,-0.03036002426020061,-0.05523877259943819,-0.04429429389905576,0.03776043803233737,-0.02621485895793023,-0.03043669591369112,-0.015691430498801947,-0.012873881392655362,-0.13979787346491032,-0.12659884503646276,-0.09188106125485009,-0.09709641833397045,-0.08247717047565514,-0.05577092886929588,-0.07188318991360755,0.017071132145340912,-0.055131775880815206,-0.08008310120247343,0.05882862502495104,-0.11275274535962182,-0.042688635216463044,-0.1329785692212557,0.07224873833036785,0.03961332627798551,0.020108630594945633,0.21788050142391815,0.16007657694248814,-0.020127711888022454,-0.13049404098474549,-0.1094705620236855,0.01980129505775168,-0.237173452219313,-0.17105203447319406,0.01411147810371239,-0.2120789378089291,-0.06684615496130024,-0.0193900392393455,-0.09888010259587794,-0.05310075059515883,-0.1515728835361862,-0.09935861241567807,-0.15236915918696575,-0.1675346415729225,-0.18645650382447249,0.0025201905754593345,-0.1516314498854658,-0.049301958564787966,0.002383318416663128,-0.002321276455306762,-0.09895065205497139,-0.09470814769590871,0.015150280947096648,-0.009600975352824425,-0.12659884503646276,-0.03681303037845443,-0.0027315372994584407,0.016333764600028285,-0.09777325845177819,0.02654417659208363,-0.06556880825892351,0.16167369323882536
Born,-0.0059132735629601335,-0.9965090522372745,1.0,-0.20495248701486893,-0.21792080860409663,-0.22338746073268423,-0.22327540840269886,-0.055022687007981914,0.08625600412781202,0.07679105005752754,0.023108630805900605,-0.008982126052346353,-0.0474630132325142,-0.01828874263967792,-0.03737795746696168,-0.09085334079339215,-0.11055295407044956,-0.07661765204790232,-0.08410480816320637,-0.049163008793512285,-0.13796948136509488,-0.23611512223739872,0.007176906583796951,0.020815996916267236,-0.12922026013680787,-0.0801428043861322,-0.0738367340196999,-0.12731602959164598,-0.21610268342275718,-0.2302216686292808,-0.10398836015112065,0.025596820983494268,0.006404830438565052,-0.0859562074440025,0.0363400568372685,0.03382499789329879,-0.014881662382653897,-0.08410480816320637,-0.056995019893260564,-0.13218605824622692,-0.2039808288455826,-0.020529437271867432,-0.07145003143954631,0.009929455604319704,0.02414140814167978,-0.03428741815816428,-0.012230767684585798,-0.03551178237580362,-0.03966146165997924,-0.07661765204790232,-0.050371302896073014,0.0928371630795795,0.06160345385726208,0.050968696918582426,-0.04971354521320331,0.08765969217432404,0.032852785567062066,0.03359843033845361,0.030754097983346027,0.05398005336030131,0.04303297968380177,-0.03709174997974887,0.02517095550801331,0.030410998115700968,0.015055327998879809,0.012592490871831044,0.13884463493346294,0.12568929678661764,0.09060299657738796,0.09534536634199899,0.08495011936450345,0.054022293931857396,0.0713560421535969,-0.01774658097870538,0.05610771181353702,0.0817022120096184,-0.05613932380134129,0.11331193321083184,0.044613384286824515,0.13299472508490104,-0.07106578788765261,-0.04085823376718871,-0.019507182546181372,-0.21727244712513083,-0.15905673537341686,0.020126298343678493,0.13028651506656616,0.10640637999878697,-0.01919878050356374,0.23629776168621125,0.1710473342973086,-0.014886567411406855,0.2110062709215936,0.06596266295345564,0.018571646729668444,0.0971479694131074,0.05228449282838624,0.15054350061996427,0.10037895497170783,0.14942091206989944,0.16862355433231405,0.18495541085590805,-0.0025194296728351757,0.15070177615810237,0.049467897581878466,-0.0007426118746390482,0.0015162180426784096,0.09904337227037417,0.09442128407455486,-0.016946731642905243,0.009929455604319704,0.12568929678661764,0.036987700290109664,0.0041507597911377685,-0.013526740720836409,0.09770591687818733,-0.025794076695581678,0.06771524206701372,-0.16306087778057896
MP,-0.0014280067591865614,0.2048838085587865,-0.20495248701486893,1.0,0.8796576869477487,0.9034450670030879,0.9034296103251906,0.4032546832047877,2.9159780641000196e-05,0.0055400000626036625,0.22324523264045393,0.1726488516467102,0.2964823832131604,0.34796854989763537,0.01914635683240801,0.12426623081106639,0.12491124433042565,0.0702271172162043,0.06214395149063698,0.12882675438618413,0.08638107189964407,0.09529372022744241,0.05361305536807637,0.04522937128136842,0.18387722712210702,0.04820052994729349,0.042635990241767785,0.210054464913478,0.10593968989340255,0.08884747642420673,0.29665539201248914,0.045057809057198556,0.04432002899629884,0.1336946812485281,0.012674517662216903,-0.018781220293500895,0.08780586919594889,0.06214395149063698,0.055245977193267376,0.04431078299772449,0.10555602841023283,0.012056045912663304,0.06480891310340292,0.001415174007184872,-0.02361316436860977,0.05311720158234673,0.026511652068607634,0.04588433823033324,0.05956305411442837,0.0702271172162043,-0.00800170131697951,-0.04235152098167311,0.029023288467245625,0.04707090929796636,0.042876119739367995,-0.03818215014109361,-0.039022686706931035,0.011778440428842196,-0.0047942130036078305,0.04440604777646659,0.0624921745600294,0.08703988357351032,-0.014862550019580083,-0.03628696582014427,0.07859893377538925,0.06141864564894372,-0.0914814471586126,-0.08558135804827319,-0.08958476434318574,-0.031765429192469975,-0.045004166946165915,-0.04631418208837901,-0.08168468651817014,0.2604682837940426,-0.08036479578389134,-0.05586170627842246,-0.005989344238122292,-0.05794777231921844,0.012415110577504006,-0.07045592056009395,-0.02385576396933147,0.002204927888759968,0.024551632882605697,0.02505550773452495,0.021198628650216475,0.04411395707049388,-0.03692513806283195,-0.016250240660526407,0.024210216999854095,-0.08854418293453083,-0.07366502758490229,0.2493321841381835,-0.0729542246540008,0.20003399563915242,0.04835083437754087,0.028027175460381637,0.03976735530665371,-0.022540232613179917,-0.026755246589994765,0.0024134593957784475,-0.08491860161761927,-0.09787145015084851,0.0482453586748966,-0.04590181363176666,-0.09791795041924624,-0.05128826978495661,-0.04054108515313994,-0.11466457777263468,-0.015712396217998942,-0.03438205472561722,0.001415174007184872,-0.08558135804827319,0.08052118780092055,-0.021439563234705646,0.035027268369115745,-0.006899189599662313,-0.04312278705759489,-0.12512108139735972,0.27333634169544946
Starts,0.014001974635341707,0.21727667410524246,-0.21792080860409663,0.8796576869477487,1.0,0.9916332367085477,0.9916148968428802,0.38361660190003505,-0.11611033380521636,-0.06689389382097664,0.1217769040422997,0.12662323465885467,0.23555107774738876,0.2200540647719187,0.00938810552927096,0.09576655251905476,0.09590967913784307,0.12368342652255905,0.110663537727125,0.1573438853030854,0.18967112669898578,0.25299032714535785,0.021243363169666657,-0.003123666620745934,0.21582468166749222,0.14748270749012848,0.12916737993362795,0.2582084437848726,0.22547663586808642,0.22421287312486873,0.25254906264347116,0.013304493532051247,-0.031313480920761215,0.12937082608008862,-0.045692378478434825,-0.037249292552003335,0.05128810684986998,0.110663537727125,0.08830220141319882,0.12379939239017923,0.21519542174953296,-0.009210637527673224,0.08366264139428192,-0.05576543112043614,-0.007500048285521076,0.024981296469215993,0.011450217801965682,0.03054713895814109,0.056324994378687605,0.12368342652255905,-0.017527427381218076,-0.09822624800454698,-0.06287828748412348,-0.041788724042575075,0.025588068172897376,-0.056390089110946076,-0.06962231902634379,-0.04215733996000954,-0.021165821431910904,0.0002593205824223147,0.01689129746151092,0.08490431424861425,-0.02032670466365417,-0.035108836370037,0.015868224848867397,0.028664933837421348,-0.11907050122324704,-0.10032576358626753,-0.08095796411544608,-0.06538207968066077,-0.09237500354108157,-0.0631821479190197,-0.11320234871128464,0.21834654201728645,-0.11233887565119934,-0.07061952254228203,0.043359940080672586,-0.09573024293031382,0.03504428483835592,-0.08364581996241043,0.0540933647772094,0.06351364544242387,0.04529179448222234,0.18013308343152715,0.19254281392515707,0.028810050878892372,-0.18063719035608425,-0.1346581993356347,0.04501685223865514,-0.16888169020310326,-0.12162508464170273,0.21333860646657607,-0.1550218802573908,0.07051357967813973,0.05468050786069259,0.016022723576563046,0.05645333982668338,-0.10535148692645939,-0.09677056245415731,-0.07905427497949244,-0.19426915167844352,-0.17192620139759507,0.030911791405585105,-0.1747885415717402,-0.11142076278143428,-0.037741744257898134,-0.02741651618530773,-0.18086857880829474,-0.08520587452889652,-0.09099066564253798,-0.05576543112043614,-0.10032576358626753,0.02456347818537053,-0.015933555777244108,0.06117250636828348,-0.02864348893564506,-0.0684708333573969,-0.18955448896894864,0.31477114204882306
Min,0.013368846623676196,0.22259866795012712,-0.22338746073268423,0.9034450670030879,0.9916332367085477,1.0,0.9999911364463018,0.37372859856242713,-0.11535927089017738,-0.06779498516320079,0.12452304268732485,0.1282308469037731,0.23924997117372518,0.2216677001172482,0.0077144892329880106,0.0905835024819544,0.09123670478368018,0.12894884224635286,0.11673621326006667,0.16015999434012843,0.19763592237154395,0.26520357929820815,0.02253696870258904,-0.0018768643154257285,0.22371065652618488,0.15343360668385606,0.13508492792030802,0.2666302434755319,0.23474667292489262,0.23461110398796095,0.26116193836856,0.009921855012702875,-0.034077147820736335,0.1315269957168446,-0.04690967420861271,-0.03766338787006144,0.050145311994716724,0.11673621326006667,0.09305619131379185,0.13078499335581995,0.22085006434101012,-0.011894035353577227,0.08246354516908469,-0.057000009736572335,-0.0051185412852558275,0.020965234395516955,0.007962501311264768,0.02639474322499951,0.056652285016637334,0.12894884224635286,-0.016716799104504854,-0.10043427474016373,-0.06534869176590127,-0.043108609217851104,0.023114035664445306,-0.058378651912206356,-0.06997206301967304,-0.04354543604898494,-0.02237761980839372,-0.00350609936369139,0.013786097606979885,0.08193947571227998,-0.022816080243513386,-0.03665526796904882,0.020356730030572638,0.027051239238448464,-0.12007524258579548,-0.10272503451736519,-0.08164373274974449,-0.06708050089416585,-0.09131922394639726,-0.061539192431927875,-0.11443884444691944,0.23074230370408966,-0.11599559048277039,-0.07368370269596025,0.04469570223026252,-0.09963911222974285,0.036048032584529655,-0.08409354761382616,0.05875601661202189,0.06644846582095726,0.050884931684806095,0.19260675978406308,0.20442833293694493,0.02688537599149541,-0.18172249996693238,-0.13376649447369793,0.05062184970118234,-0.17234311042024508,-0.12467579226622272,0.21987924921660143,-0.1570355422750482,0.07031587133309052,0.05912572242575304,0.02046632684134201,0.0615153676313246,-0.10614841216838143,-0.09817466963053012,-0.07918226353613743,-0.19658572155476842,-0.17697391108227692,0.0338979646419234,-0.17525558331039,-0.11358124350237786,-0.04599090815124853,-0.031886022683552125,-0.18474703407679854,-0.0901823484178977,-0.09119646280052515,-0.057000009736572335,-0.10272503451736519,0.025308447304458595,-0.014541795815948229,0.06295944312570838,-0.02909677416404709,-0.063421748066369,-0.18740836925284582,0.32789718889485386
90s,0.013374947338312342,0.22249433090188403,-0.22327540840269886,0.9034296103251906,0.9916148968428802,0.9999911364463018,1.0,0.3736015329078466,-0.11529090187799661,-0.06778030698926837,0.12456279349303336,0.12804901928687215,0.23908778779500134,0.221728649299174,0.007738780325415058,0.0905482260113764,0.09124600350260743,0.128756371725113,0.11656414214094844,0.16007133664645773,0.19748121308727867,0.2651073219355574,0.02232949166391137,-0.0020725693158464434,0.22365365948408164,0.15330647391974325,0.13496814224812065,0.26659495834827834,0.23466327158222508,0.23454742323467329,0.26112967522764524,0.009974523562394902,-0.03416453168973043,0.1313292684691351,-0.04703034761007716,-0.037695164642411315,0.05001576494228551,0.11656414214094844,0.0929016824397354,0.1306605068797451,0.22078469989818536,-0.011781398539299038,0.08243365395286253,-0.05696630346984976,-0.0052205796424264735,0.02103524345342199,0.008054530515532237,0.02642379991600924,0.05656798916952263,0.128756371725113,-0.016621999183968388,-0.10043057804924481,-0.06531421219185737,-0.04306949741600389,0.023105327105783637,-0.058315253460627645,-0.06999007160829905,-0.04357601730267213,-0.022366393520815913,-0.00342162969945694,0.01384776544915416,0.08186338532050966,-0.022766650757354272,-0.03663073898733296,0.020484237361195,0.02712951217033573,-0.1202242572620798,-0.1028169649690617,-0.08181014577786272,-0.06717282616134065,-0.09128556855508359,-0.061706145869995364,-0.11464190732446988,0.23075641947559522,-0.11614143159678357,-0.07362811965766473,0.04464407978997332,-0.09955622153507727,0.035969746011588345,-0.08425078752324149,0.05873928754284201,0.06655054820981975,0.05069040401431668,0.1925671596913548,0.20432717433099476,0.02671095386032806,-0.18173446147533412,-0.13370027774451262,0.05042731448719102,-0.1723827323460458,-0.12463548606092593,0.2198337421813458,-0.15712737243793515,0.07034808481071352,0.05893202749966685,0.020335253569697294,0.06136228527558112,-0.10619548545692534,-0.09825049233431747,-0.0792103009951539,-0.19668368262494532,-0.17710084110385996,0.03369879623939977,-0.17524113941933,-0.11347502531176726,-0.04597013201927724,-0.031903550927211276,-0.18481447546214613,-0.09030298169598056,-0.09117485186895152,-0.05696630346984976,-0.1028169649690617,0.02540832562057634,-0.014520951297051601,0.06298699233139547,-0.029101121794481623,-0.06329754421826683,-0.18737114862887502,0.3279823188208678
Goals,-0.008503374021239941,0.05244675690709756,-0.055022687007981914,0.4032546832047877,0.38361660190003505,0.37372859856242713,0.3736015329078466,1.0,0.3351935464347454,0.315787671585237,0.3317032148307732,0.4567299870450103,0.502619359480288,0.13713574569648432,0.08404689455001645,0.43913564307804487,0.427467010116933,-0.16018580533866167,-0.16663426726960617,-0.05462577690657831,-0.20628974908506795,-0.2480481476451025,-0.053232167612315556,-0.03351529965079301,-0.06277446029635697,-0.20389559005918412,-0.2017464148598547,-0.05566172081188769,-0.17002525962291698,-0.19967303685154703,0.1282283522498076,0.10864962235397266,0.17423212184201423,-0.049986861412652905,0.11674380314328638,-0.021798523761208336,0.02340799384048284,-0.16663426726960617,-0.1381013580664501,-0.16308361927244314,-0.14953408877163565,0.08756475338194308,-0.014126784199511121,0.031045495573946896,-0.14796680958370836,0.09572244341517654,0.07002279076710252,0.061637008925844096,0.0504594152652082,-0.16018580533866167,0.012931490446316833,0.0353541768648653,0.20921878755280704,0.1803975435087746,0.04629298682517837,0.07988877732818998,0.10360020199547829,0.12209131546067706,0.007522514742068778,0.1685408649555881,0.13578720687924722,0.07789855349262023,0.0630382084939444,0.038348891134550186,0.1460088812838991,0.04346742622186091,-0.12329493302080329,-0.10660903939814069,-0.14648493395761247,-0.05852006205235475,0.01634763680999434,-0.11704953557184664,-0.1115657256951572,-0.02163392583353121,-0.05366671580052818,-0.0706799082777332,-0.11437448593462136,-0.02602678179656254,-0.15115460198522612,-0.1644170547888424,-0.18308422088838253,-0.08014891633673253,-0.1452817319744689,-0.2080318036868862,-0.31887156066484296,-0.08434074671816187,0.21298670972345762,0.332711492813444,-0.14635094839437435,0.12047838371029639,0.08747298737061131,0.09849891828966832,0.10837137681476877,0.16779568023040956,-0.06329963387398864,-0.028338845220060627,-0.0627673828199302,0.10904666479581522,0.06176672557421678,0.20514314007026485,0.1498321326816251,0.10916956294745264,-0.013278290367637474,0.2281653644864138,-0.053131505139913174,-0.018860598620451474,-0.010157351670860766,-0.02335161033309533,0.10146609968415653,0.1593684334675732,0.031045495573946896,-0.10660903939814069,0.1636376252634815,-0.05110453942992537,-0.03696635800506139,-0.12163811224103564,0.016601346670877634,0.04521335018532141,-0.033461641176749664
Shots,-0.02248971306530309,-0.09030184603020695,0.08625600412781202,2.9159780641000196e-05,-0.11611033380521636,-0.11535927089017738,-0.11529090187799661,0.3351935464347454,1.0,0.715495127740442,0.3213699410447879,0.19998229931472428,0.19443695084285878,0.3375093433378091,0.19544470699761013,0.1494730112788112,0.15495569722227173,-0.1627464738374948,-0.15829439251879376,-0.0952338972411758,-0.24442371386417036,-0.36500402019677697,-0.021411333473962464,0.018117338011130756,-0.15648831191149992,-0.21610943296650528,-0.205518677232059,-0.11658817234899259,-0.25362024674839523,-0.30830609561524425,-0.012336687887237248,0.07473598862103256,0.21625714555578507,-0.03573177594263025,0.12458898966376493,0.0021740997752054624,0.05198886158858686,-0.15829439251879376,-0.11071169457597915,-0.25014200829630184,-0.26836530049395113,0.08988059731939928,0.04055581764310603,0.1074875485061778,-0.1665721131458805,0.11056966665868569,0.09728032207474985,0.056405836546980954,0.003954837451510715,-0.1627464738374948,0.06595010664103211,0.183034386283335,0.4790123676899354,0.3361654299616773,0.060628891522320115,0.2931813581703238,0.4497296897779044,0.1815956919057047,0.07515333866267083,0.2246010936119617,0.08024802202730333,0.04498579967461477,0.08669780639991446,0.21848870046104393,0.10846956222090232,0.04232949259081903,-0.01405944898345867,0.005701283121456425,-0.08654425189894484,0.025223976971636478,0.09225779666331078,-0.07874218326579535,-0.03895354866067701,-0.12500506106813725,0.020625986636158236,-0.0078850455030014,-0.18856330460733325,0.07470609999996601,-0.15548958605581392,-0.07612024719708978,-0.21470332302452488,-0.1367063632730921,-0.04188889117353821,-0.329727672893413,-0.422537787484659,-0.03857110741794949,0.4683267078798271,0.6499422351896539,-0.042284401275740624,0.31257502420426525,0.2941178371008614,0.06968619875095494,0.19298773177995499,0.1373445962900737,0.029832086909968313,0.11602638374497358,0.05118329708069146,0.3278182453636372,0.2317108669243754,0.45282224524411463,0.2931247018905708,0.30084514278165164,0.09144775875317687,0.427608776148338,0.08886345776349579,0.060147561549476695,-0.01738001734241957,0.21081595503828063,0.18221453922800246,0.219438896918418,0.1074875485061778,0.005701283121456425,0.13566021724152527,-0.05445577167822547,-0.07144888059487742,0.03482275557770912,0.11075710637473415,0.22767883554868512,-0.15406673104326704
SoT,-0.00952937660527411,-0.07937937398620992,0.07679105005752754,0.0055400000626036625,-0.06689389382097664,-0.06779498516320079,-0.06778030698926837,0.315787671585237,0.715495127740442,1.0,0.5661092176271675,0.3225803176144731,0.2217667086929925,0.14949475660400446,0.10399824415656582,0.11740437573063181,0.12006042430689952,-0.14223167419122232,-0.14203964933226562,-0.05242825226819693,-0.20220199890107554,-0.2844144105795095,-0.032228842297019625,-0.004329624490462145,-0.08311899948147518,-0.18407645353830165,-0.18555180852933165,-0.07232709160272562,-0.19510413295851883,-0.22261582373438743,-0.007378238835957212,0.052091718112460134,0.1508085055053016,-0.07325205158535048,0.07256686231202732,-0.017579181829872607,-0.026914536666564907,-0.14203964933226562,-0.11184869127604548,-0.1653456637102832,-0.18017660915861017,0.06717684013317822,-0.04849413652099388,0.07280853538480876,-0.11853511749296926,0.070601814290701,0.06218651524703858,0.036716188317409804,0.006286739787068066,-0.14223167419122232,0.017736094661160808,0.13559304291386368,0.3074496435150837,0.2368019174927552,0.03711346831802143,0.20355637001649274,0.1906652655737977,0.1359574277697491,0.07488322972548714,0.14089807339686697,0.0710869175495354,0.028332669609604816,0.09587979367607477,0.08044718753869769,0.09178335200075298,0.03091486686539311,0.02757874901235493,0.04007365081649006,-0.014420883979725112,0.03187395881518881,0.06171058300373882,-0.0402605512198283,-0.023627390268895702,-0.09812268155476646,0.004740465282354915,-0.05224087716027059,-0.14800480166628827,0.00871865481226108,-0.12255415117154211,-0.02805911708181029,-0.0910909914803422,-0.09893202124269214,-0.0506316618412222,-0.19861865204731308,-0.2889398511910674,-0.059684948089032325,0.32036400922176217,0.5263548029740428,-0.050931134799474705,0.22479372192978042,0.2468918941149552,0.06395782271997925,0.12761479207340032,0.08586704460845611,-9.597208536699102e-05,0.04893680637896822,-0.01605727631841674,0.2097684754279554,0.2020050301667361,0.3490568824315043,0.2018058321580403,0.155996953179772,0.03682074201428988,0.30895197817642117,0.052077884601233936,0.1486926221830697,-0.018598630973861965,0.14265329880352343,0.11848457723443312,0.13223730591586358,0.07280853538480876,0.04007365081649006,0.10816473676091197,-0.051651629270462136,-0.04912420011952586,-0.008168311319394618,0.07622701179966646,0.2153930103036311,-0.11735909263198538
